shanchen/math-500-jpsft-spanish-lora	aime_combined	ES	ES	96.88%
shanchen/math-500-frsft-spanish-lora	aime_combined	ES	ES	95.55%
shanchen/math-500-base-spanish-lora	aime_combined	ES	ES	96.15%
shanchen/math-500-jpsft-french-lora	aime_combined	FR	FR	92.63%
shanchen/math-500-sft-french-lora	aime_combined	FR	FR	94.47%
shanchen/math-500-base-french-lora	aime_combined	FR	FR	90.97%
shanchen/math-500-japanese-lora	aime_combined	JA	JA	94.92%
shanchen/math-500-jpsft-spanish-lora	gpqa_diamond_mc_multilingual	ES	ES	94.51%
shanchen/math-500-frsft-spanish-lora	gpqa_diamond_mc_multilingual	ES	ES	90.35%
shanchen/math-500-base-spanish-lora	gpqa_diamond_mc_multilingual	ES	ES	96.03%
shanchen/math-500-jpsft-french-lora	gpqa_diamond_mc_multilingual	FR	FR	83.75%
shanchen/math-500-sft-french-lora	gpqa_diamond_mc_multilingual	FR	FR	85.5%
shanchen/math-500-base-french-lora	gpqa_diamond_mc_multilingual	FR	FR	88.28%
shanchen/math-500-japanese-lora	gpqa_diamond_mc_multilingual	JA	JA	86.98%
shanchen/math-500-jpsft-spanish-lora	aime_combined	ES	ES	96.88%
shanchen/math-500-frsft-spanish-lora	aime_combined	ES	ES	95.55%
shanchen/math-500-base-spanish-lora	aime_combined	ES	ES	96.15%
shanchen/math-500-jpsft-french-lora	aime_combined	FR	FR	92.63%
shanchen/math-500-sft-french-lora	aime_combined	FR	FR	94.47%
shanchen/math-500-base-french-lora	aime_combined	FR	FR	91.12%
shanchen/math-500-japanese-lora	aime_combined	JA	JA	94.92%
shanchen/math-500-jpsft-spanish-lora	gpqa_diamond_mc_multilingual	ES	ES	94.51%
shanchen/math-500-frsft-spanish-lora	gpqa_diamond_mc_multilingual	ES	ES	90.35%
shanchen/math-500-base-spanish-lora	gpqa_diamond_mc_multilingual	ES	ES	96.03%
shanchen/math-500-jpsft-french-lora	gpqa_diamond_mc_multilingual	FR	FR	83.75%
shanchen/math-500-sft-french-lora	gpqa_diamond_mc_multilingual	FR	FR	85.5%
shanchen/math-500-base-french-lora	gpqa_diamond_mc_multilingual	FR	FR	89.35%
shanchen/math-500-japanese-lora	gpqa_diamond_mc_multilingual	JA	JA	88.39%
shanchen/math-500-jpsft-spanish-lora	aime_combined	ES	ES	96.88%
shanchen/math-500-frsft-spanish-lora	aime_combined	ES	ES	95.55%
shanchen/math-500-base-spanish-lora	aime_combined	ES	ES	96.15%
shanchen/math-500-jpsft-french-lora	aime_combined	FR	FR	92.63%
shanchen/math-500-sft-french-lora	aime_combined	FR	FR	94.47%
shanchen/math-500-base-french-lora	aime_combined	FR	FR	91.12%
shanchen/math-500-japanese-lora	aime_combined	JA	JA	94.92%
shanchen/math-500-jpsft-spanish-lora	gpqa_diamond_mc_multilingual	ES	ES	94.51%
shanchen/math-500-frsft-spanish-lora	gpqa_diamond_mc_multilingual	ES	ES	90.35%
shanchen/math-500-base-spanish-lora	gpqa_diamond_mc_multilingual	ES	ES	96.03%
shanchen/math-500-jpsft-french-lora	gpqa_diamond_mc_multilingual	FR	FR	83.75%
shanchen/math-500-sft-french-lora	gpqa_diamond_mc_multilingual	FR	FR	85.5%
shanchen/math-500-base-french-lora	gpqa_diamond_mc_multilingual	FR	FR	89.35%
shanchen/math-500-japanese-lora	gpqa_diamond_mc_multilingual	JA	JA	88.39%
